DPU type	model_size	AP sur coco	GFLOP/inference	Nb param	mean inference measure time (t4-t5)	total inference measure time (t4-t5) (ms)	mean inference power (W)	max inference power (W)	mean inference vaitrace time (ms)	total inference vaitrace time (ms)	Inference Energy (mJ)	total power max (W)	total power min (W)	total power mean (W)
DPUC32B1CU2	l	49,7	155,6	54,2	0,0325603	0,651206	22,85208468	23,14547594	31,8772	637,544	14756,25931	26,41746344	22,02668781	22,80035792
DPUC32B1CU2	xl	51,1	281,9	99,1	0,0579137	1,158274	22,87094762	23,14813938	57,22565	1144,513	26493,34644	27,29449063	22,03813156	23,03816711
DPUC64B3CU1	nano	25,8	1,08	0,91	0,006875857	0,048131	26,36421641	26,40158094	5,183714286	36,286	958,0077659	26,97345531	26,08618906	26,50499839
DPUC64B3CU1	tiny	32,8	6,45	5,06	0,009184714	0,064293	24,80589792	24,97922562	7,463142857	52,242	1304,964705	27,40479469	24,21241	24,79145202
DPUC64B3CU1	s	40,5	26,8	9	0,010868	0,076076	25,43527613	25,67188156	9,165428571	64,158	1647,056577	28,39426125	24,86115656	25,46730438
DPUC64B3CU1	m	46,9	73,8	25,3	0,019298714	0,135091	25,90061094	26,0884825	17,56285714	122,94	3207,318039	32,79376719	25,12658781	25,90756604
DPUC64B3CU1	l	49,7	155,6	54,2	0,027934	0,195538	26,15891978	26,35955	26,21828571	183,528	4837,715492	37,27148375	25,52079781	26,38334745
DPUC64B3CU1	xl	51,1	281,9	99,1	0,047509714	0,332568	26,47451289	26,6548025	45,78728571	320,511	8543,157404	46,28517875	25,95923344	26,89224637
DPUC32B3CU1	nano	25,8	1,08	0,91	0,006455429	0,045188	21,03545213	21,31791188	4,737285714	33,161	706,9232757	21,88600938	20,41122563	20,94526089
DPUC32B3CU1	tiny	32,8	6,45	5,06	0,009564429	0,066951	21,59496771	21,78799813	7,864571429	55,052	1199,472873	23,56711875	20,78631438	21,49286646
DPUC32B3CU1	m	46,9	73,8	25,3	0,022566571	0,157966	22,03936316	22,22066156	20,86214286	146,035	3244,994311	27,68233594	21,34111344	21,93266174
DPUC32B3CU1	l	49,7	155,6	54,2	0,036482857	0,25538	22,01809326	22,38643719	34,76057143	243,324	5447,157442	31,96611469	21,22717719	22,03793895
DPUC32B3CU1	xl	51,1	281,9	99,1	0,061780429	0,432463	22,18648842	22,38134281	60,06085714	420,426	9409,698433	34,36822938	21,30819781	22,38373849
DPUC32B1CU3	nano	25,8	1,08	0,91	0,0050527	0,101054	27,09799635	27,29186219	4,3198	86,396	2357,907726	27,50666781	25,68801125	26,69044133
DPUC32B1CU3	tiny	32,8	6,45	5,06	0,00728665	0,145733	25,00203978	25,19545219	6,6107	132,214	3331,191516	26,0232525	24,30573094	24,96794553
DPUC32B1CU3	s	40,5	26,8	9	0,00923265	0,184653	25,62392964	25,94910969	8,5603	171,206	4442,643273	27,06403938	25,11223688	25,8013601
DPUC32B1CU3	m	46,9	73,8	25,3	0,0189064	0,378128	26,37778641	26,67654688	18,206	364,12	9713,464248	29,07337313	25,66047313	26,3750871
DPUC32B1CU3	l	49,7	155,6	54,2	0,0323057	0,646114	26,79486356	27,10993469	31,6272	632,544	17148,22653	30,43369625	26,07970469	26,88601451
DPUC32B1CU3	xl	51,1	281,9	99,1	0,05766085	1,153217	27,09955414	27,38528031	56,9698	1139,396	31202,67885	31,94954063	26,43523781	27,34960986
